# format=rl-suite-semantic-map-v1
# revision=1.12.13
# input.sha256=a0eeaa3968819fdde8bb13988a99b7a6152539da35955da3860576b4c39b7859
# source=devious-annotations
# source.sha256=68fa234b5709c52a7d589d59e53223c08ca764aac3ffe71fb9fda40f31e0c2c8
# source.commit=3c01c4f5a68e2e013f47ea8bb8b66e364494ebee
field	bq	aw	Ljava/lang/String;	target
field	br	ab	[Lbt;	Interpreter_frames
field	br	ac	I	Interpreter_frameDepth
field	br	ae	[Ljava/lang/String;	Interpreter_MONTHS
field	br	af	Ljava/util/Calendar;	Interpreter_calendar
field	br	ai	[Ljava/lang/Object;	Interpreter_objectStack
field	br	au	[Ljava/lang/Object;	Interpreter_objectLocals
field	br	az	[I	Interpreter_intStack
field	bt	ag	[I	intLocals
field	bt	an	[Ljava/lang/Object;	stringLocals
field	bt	at	I	pc
field	bt	av	Lcu;	script
field	bt	lr	I	cameraY
field	bu	ae	Lxv;	senderUsername
field	bu	ag	I	type
field	bu	aj	Ljava/lang/String;	prefix
field	bu	ak	Ljava/lang/String;	text
field	bu	an	Ljava/lang/String;	sender
field	bu	ap	Ltq;	isFromIgnored0
field	bu	at	I	cycle
field	bu	av	I	count
